timestamp_local,food_name,label,temperature,humidity,mq2_ppm,mq3_ppm,mq4_ppm,mq135_ppm,mq136_ppm,mq137_ppm,co2
6/21/2026 21:18,Rice,Fresh,29.8,77.7,2463.7,120.3,513.9,117.7,82.6,115.1,501.0
6/21/2026 21:23,Rice,Fresh,29.7,77.6,2409.5,90.2,451.3,107.5,74.7,100.1,550.0
6/21/2026 21:28,Rice,Fresh,29.7,77.9,2382.1,82.4,444.7,102.7,70.8,94.8,400.0
6/21/2026 21:33,Rice,Fresh,29.7,78.1,2382.4,79.8,434.4,104.7,70.5,94.6,750.0
6/21/2026 21:38,Rice,Fresh,29.7,81.0,2378.8,77.8,424.9,103.9,69.5,93.7,822.0
6/21/2026 21:43,Rice,Fresh,29.8,82.5,2376.9,74.4,409.2,101.6,69.0,93.4,836.0
6/21/2026 21:48,Rice,Fresh,29.7,83.0,2390.5,73.3,405.5,102.1,68.5,93.2,876.0
6/21/2026 21:53,Rice,Fresh,29.7,83.3,2394.9,72.5,412.5,101.2,68.0,93.1,913.0
6/21/2026 21:58,Rice,Fresh,29.7,83.4,2367.0,72.6,424.2,103.3,67.4,92.9,927.0
6/21/2026 22:03,Rice,Fresh,29.7,83.8,2377.3,71.6,418.7,103.8,67.7,93.3,944.0
6/21/2026 22:08,Rice,Fresh,29.7,83.8,2386.1,67.5,379.5,103.0,67.3,93.4,933.0
6/21/2026 22:13,Rice,Fresh,29.7,83.9,2390.8,69.5,433.0,105.0,68.1,94.9,926.0
6/21/2026 22:18,Rice,Fresh,29.7,84.0,2371.1,68.4,422.0,104.8,67.2,93.6,936.0
6/21/2026 22:23,Rice,Fresh,29.7,84.0,2374.4,68.1,409.5,104.3,67.0,92.3,948.0
6/21/2026 22:28,Rice,Fresh,29.6,84.4,2367.0,69.4,397.8,103.0,66.9,93.6,959.0
6/21/2026 22:33,Rice,Fresh,29.6,85.2,2367.0,71.4,394.1,104.0,68.5,94.8,963.0
6/21/2026 22:38,Rice,Fresh,29.7,87.0,2366.7,70.7,403.7,104.4,68.7,95.0,970.0
6/21/2026 22:43,Rice,Fresh,29.6,88.7,2334.1,70.3,394.1,105.4,68.5,95.1,978.0
6/21/2026 22:48,Rice,Fresh,29.7,89.6,2307.3,72.2,373.6,106.4,69.3,95.4,991.0
6/21/2026 22:53,Rice,Fresh,29.6,90.3,2331.5,69.7,373.6,107.2,69.0,95.7,999.0
6/21/2026 22:58,Rice,Fresh,29.6,91.0,2310.3,69.9,369.2,106.4,68.9,95.9,989.0
6/21/2026 23:03,Rice,Fresh,29.5,91.4,2294.9,70.3,301.1,100.5,68.9,96.6,1025.0
6/21/2026 23:08,Rice,Fresh,29.5,92.0,2290.1,70.1,359.3,107.3,70.0,96.7,1048.0
6/21/2026 23:13,Rice,Fresh,29.5,92.3,2297.1,71.1,357.9,107.2,70.2,96.9,1077.0
6/21/2026 23:18,Rice,Fresh,29.5,92.7,2272.9,68.4,364.8,108.9,69.1,96.6,1039.0
6/21/2026 23:23,Rice,Fresh,29.5,93.0,2260.1,67.8,391.2,111.1,68.9,96.5,1048.0
6/21/2026 23:28,Rice,Fresh,29.5,93.4,2267.8,68.5,380.6,110.0,69.4,96.5,1044.0
6/21/2026 23:33,Rice,Fresh,29.5,93.5,2277.3,67.6,375.1,111.7,69.0,96.5,1065.0
6/21/2026 23:38,Rice,Fresh,29.5,93.8,2278.4,67.4,368.9,111.2,69.1,96.7,1077.0
6/21/2026 23:43,Rice,Fresh,29.4,94.1,2168.9,67.3,375.8,113.0,69.4,96.9,1114.0
6/21/2026 23:48,Rice,Fresh,29.4,94.4,2233.3,67.6,370.3,116.4,69.9,97.4,1097.0
6/21/2026 23:53,Rice,Fresh,29.4,94.7,2240.7,66.6,370.7,118.1,69.2,97.1,1079.0
6/21/2026 23:58,Rice,Fresh,29.4,94.7,2225.3,65.3,388.3,119.6,67.8,96.5,1082.0
6/22/2026 0:03,Rice,Fresh,29.4,95.3,2230.4,66.0,391.6,141.5,69.3,97.5,1077.0
6/22/2026 0:08,Rice,Fresh,29.3,95.2,2223.1,64.7,383.2,134.0,69.1,97.6,1096.0
6/22/2026 0:13,Rice,Fresh,29.3,95.4,2215.0,64.7,373.6,135.8,69.4,97.7,1096.0
6/22/2026 0:18,Rice,Fresh,29.3,95.7,2217.2,65.9,369.2,136.4,70.7,98.5,1157.0
6/22/2026 0:23,Rice,Fresh,29.3,95.7,2207.3,63.2,371.4,145.7,69.3,97.7,1075.0
6/22/2026 0:28,Rice,Fresh,29.3,95.8,2210.6,64.0,378.0,146.7,69.8,97.7,1123.0
6/22/2026 0:33,Rice,Fresh,29.3,96.2,2210.3,64.0,376.9,136.9,69.7,97.8,1099.0
6/22/2026 0:38,Rice,Fresh,29.3,96.3,2141.0,60.9,364.5,134.8,69.3,97.6,1106.0
6/22/2026 0:43,Rice,Fresh,29.3,96.4,2211.4,65.0,381.7,129.0,70.0,98.1,1158.0
6/22/2026 0:48,Rice,Fresh,29.3,96.5,2204.4,63.3,376.6,132.1,69.6,97.7,1125.0
6/22/2026 0:53,Rice,Fresh,29.2,96.6,2175.8,63.8,367.0,130.1,69.1,96.0,1131.0
6/22/2026 0:58,Rice,Fresh,29.2,96.7,2177.3,64.2,368.9,132.5,70.9,98.1,1180.0
6/22/2026 1:03,Rice,Fresh,29.2,96.8,2170.7,62.3,383.9,140.1,69.6,97.6,1108.0
6/22/2026 1:08,Rice,Fresh,29.2,96.9,2175.8,63.2,371.1,143.8,70.3,97.8,1170.0
6/22/2026 1:13,Rice,Fresh,29.2,97.0,2167.0,61.9,369.6,128.5,69.8,97.5,1141.0
6/22/2026 1:18,Rice,Fresh,29.1,97.0,2156.8,61.3,372.5,127.9,69.6,97.1,1111.0
6/22/2026 1:23,Rice,Fresh,29.1,97.1,2168.1,60.9,365.2,129.1,69.6,97.0,1107.0
6/22/2026 1:28,Rice,Fresh,29.1,97.1,2174.0,62.4,362.6,148.7,70.8,98.0,1193.0
6/22/2026 1:33,Rice,Fresh,29.1,97.2,2184.6,57.1,301.5,135.8,69.6,97.4,1110.0
6/22/2026 1:38,Rice,Fresh,29.1,97.4,2162.6,60.7,382.8,146.2,69.3,97.2,1113.0
6/22/2026 1:43,Rice,Fresh,29.1,97.4,2158.6,60.3,384.6,148.1,69.4,97.6,1126.0
6/22/2026 1:48,Rice,Fresh,29.0,97.5,2169.2,61.0,368.9,156.7,70.2,96.4,1158.0
6/22/2026 1:53,Rice,Fresh,29.0,97.5,2169.6,61.7,378.0,150.5,70.4,97.8,1141.0
6/22/2026 1:58,Rice,Fresh,29.0,97.6,2172.2,61.8,379.1,147.9,70.6,98.3,1178.0
6/22/2026 2:03,Rice,Fresh,29.0,97.6,2163.4,60.9,388.6,141.2,70.0,97.9,1137.0
6/22/2026 2:08,Rice,Fresh,29.0,97.8,2167.8,61.4,393.8,131.5,70.4,97.9,1186.0
6/22/2026 2:13,Rice,Fresh,29.0,97.9,2152.0,61.7,392.7,134.5,70.8,98.3,1195.0
6/22/2026 2:18,Rice,Fresh,28.9,97.8,2167.4,59.6,386.1,132.2,69.9,97.9,1119.0
6/22/2026 2:23,Rice,Fresh,28.9,97.8,2170.0,61.4,392.7,134.4,70.6,98.5,1176.0
6/22/2026 2:28,Rice,Fresh,28.9,97.8,2170.3,61.1,342.9,126.1,69.9,98.5,1185.0
6/22/2026 2:33,Rice,Fresh,28.9,98.0,1197.8,59.8,408.8,132.4,69.8,98.1,1140.0
6/22/2026 2:38,Rice,Fresh,28.9,98.0,1203.7,60.6,399.3,126.9,69.8,97.7,1101.0
6/22/2026 2:43,Rice,Fresh,28.9,98.2,1209.2,59.1,382.1,129.0,69.6,97.5,1117.0
6/22/2026 2:48,Rice,Fresh,28.9,98.2,1209.9,59.5,378.8,130.8,70.1,98.1,1131.0
6/22/2026 2:53,Rice,Fresh,28.9,98.3,1219.8,61.2,381.0,135.0,71.1,98.2,1186.0
6/22/2026 2:58,Rice,Fresh,28.9,98.2,2171.8,60.4,390.8,141.4,69.9,97.2,1118.0
6/22/2026 3:03,Rice,Fresh,28.9,98.4,2168.5,59.0,394.5,148.0,69.3,97.1,1124.0
6/22/2026 3:08,Rice,Fresh,28.8,98.4,2116.1,57.3,392.7,149.2,69.7,97.2,1128.0
6/22/2026 3:13,Rice,Fresh,28.8,98.3,2180.2,59.4,377.3,144.2,70.2,97.7,1129.0
6/22/2026 3:18,Rice,Fresh,28.8,98.4,2125.3,57.5,320.5,137.5,69.4,96.3,1178.0
6/22/2026 3:23,Rice,Fresh,28.8,98.5,2194.1,62.5,400.7,114.1,70.3,97.5,1233.0
6/22/2026 3:28,Rice,Fresh,28.7,98.5,2207.3,60.4,385.3,140.4,71.4,99.0,1198.0
6/22/2026 3:33,Rice,Fresh,28.7,98.5,2198.5,60.0,376.9,146.9,70.8,98.5,1118.0
6/22/2026 3:38,Rice,Fresh,28.7,98.6,2210.3,59.5,359.0,147.8,70.6,98.6,1116.0
